epoch,train_loss,val_acc,val_psoriasis,val_non_psoriasis
1,2.50796,0.60131,0.8889,0.2778
2,1.4602,0.60784,0.7284,0.4722
3,1.09362,0.57516,0.6173,0.5278
4,0.89621,0.5817,0.6296,0.5278
5,0.81514,0.5817,0.6543,0.5
6,0.72342,0.5817,0.5926,0.5694
7,0.70823,0.59477,0.5802,0.6111
8,0.6542,0.61438,0.5926,0.6389
9,0.59341,0.58824,0.5802,0.5972
10,0.59043,0.63399,0.642,0.625
11,0.58396,0.64052,0.7037,0.5694
12,0.54859,0.62092,0.5556,0.6944
13,0.57241,0.60784,0.5309,0.6944
14,0.52054,0.66013,0.6049,0.7222
15,0.51243,0.63399,0.642,0.625
16,0.49606,0.63399,0.6296,0.6389
17,0.46039,0.66013,0.6173,0.7083
18,0.4454,0.66667,0.6296,0.7083
19,0.43501,0.6732,0.6914,0.6528
20,0.4445,0.69935,0.6049,0.8056
21,0.42655,0.66013,0.6049,0.7222
22,0.4258,0.67974,0.6667,0.6944
23,0.41589,0.69281,0.642,0.75
24,0.40524,0.69281,0.5679,0.8333
25,0.3959,0.69281,0.679,0.7083
